"Campaign name","Ad set name","Amount spent (INR)","CPM (cost per 1,000 impressions)","CTR (link click-through rate)","Ad set delivery","Reporting starts","Reporting ends"
"BOF | DPA","VC & ATC_60 Days - FB",457.98,68.83811814,3.38193296,active,2025-09-29,2025-09-29
"TOF | New Arrivals","T1 - TRLi - ST SI",455.13,142.228125,0.4375,active,2025-09-29,2025-09-29
"BOF | DPA","VC & ATC_1 Day - FB",451.64,222.59241005,5.86495811,active,2025-09-29,2025-09-29
MOF,"MOF | DELi",432.28,649.06906907,0.9009009,active,2025-09-29,2025-09-29
"Living in Moi | Delhi | WhatsApp | Oct 2025","Delhi - RT - FB Feed - 60",429.9,471.89901207,2.0856202,active,2025-09-29,2025-09-29
"TOF | New Arrivals","T1 - INT JWLi - FEED DABA",416.48,152.8928047,0.77092511,active,2025-09-29,2025-09-29
"Living in Moi | Delhi | WhatsApp | Oct 2025","Delhi - RT - IG Stories - 365 - ENGDi",407.18,264.74642393,0.39011704,active,2025-09-29,2025-09-29
"Living in Moi | Delhi | DM | Oct 2025","Delhi - RT - IG Stories - 60",400.44,445.42825362,0.77864294,active,2025-09-29,2025-09-29
"Living in Moi | Delhi | WhatsApp | Oct 2025","Delhi - RT - IG Feed - 60",388.54,450.22016222,0.92699884,active,2025-09-29,2025-09-29
"Living in Moi | Delhi | WhatsApp | Oct 2025","Delhi - RT - IG Feed- 365 - ENGDi",385.77,129.36619718,0.20120724,active,2025-09-29,2025-09-29
"Living in Moi | Delhi | WhatsApp | Oct 2025","Delhi - RT - IG Stories - 60",384.01,638.95174709,1.16472546,active,2025-09-29,2025-09-29
"TOF | New Arrivals","T1 - INT JWLi - FEED SI",380.9,94.61003477,0.29806259,active,2025-09-29,2025-09-29
"Living in Moi | Delhi | WhatsApp | Oct 2025","Delhi - RT - FB Feed- 365 - ENGDi",378.4,344,1.27272727,active,2025-09-29,2025-09-29
"TOF | Ahmedabad Store | WhatsApp","TRLi - IG RL",322.06,60.36738519,0.11246485,active,2025-09-29,2025-09-29
"TOF | Chennai Store","LUXEi - IG",304.96,43.36746303,0.19908987,active,2025-09-29,2025-09-29
"TOF | Ahmedabad Store | WhatsApp","LUXEi - IG Feed",283.36,44.60254998,0.01574059,active,2025-09-29,2025-09-29
MOF,"MOF | BLRi",224.07,472.72151899,0.63291139,active,2025-09-29,2025-09-29
"TOF | New Arrivals","T1 - INT JWLi - ST SV",155.59,156.05817452,1.00300903,active,2025-09-29,2025-09-29
"TOF | Chennai Store","COM - LUXEi - IG",141.43,49.38198324,0.17458101,active,2025-09-29,2025-09-29
"The behno New York x Moi collaboration","The behno New York x Moi collaboration - Reach",105.47,32.51233046,0.12330456,active,2025-09-29,2025-09-29
"TOF | Ahmedabad Store","LUXEi - IG",85.46,147.09122203,0.8605852,active,2025-09-29,2025-09-29
"TOF | Ahmedabad Store","TRLi - IG",73.94,99.64959569,0.67385445,active,2025-09-29,2025-09-29
"TOF | Chennai Store","COM - TRLi - IG",60.54,18.62769231,0.12307692,active,2025-09-29,2025-09-29
MOF,"MOF | HYDi",53.16,492.22222222,,active,2025-09-29,2025-09-29
"TOF | Ahmedabad Store","INT JWLi - IG",29.19,116.29482072,,active,2025-09-29,2025-09-29
