"Day","UTM campaign","UTM term","UTM content","Landing page URL","Online store visitors","Sessions that completed checkout","Sessions that reached checkout","Sessions with cart additions","Average session duration","Pageviews"
"2025-10-27","MOF","MOF | DABA | ENGDi","MOF | DABA 1","https://vibewithmoi.in/products/adem-gold-diamond-purple-amethyst-pearl-and-green-enamel-pendant-necklace?variant=41284324458559&utm_source=ig&utm_medium=paid&utm_campaign=MOF&utm_content=MOF+%7C+DABA+1&utm_term=MOF+%7C+DABA+%7C+ENGDi&placement=Instagram_Feed&utm_id=120225067040140313_v2_s17_e314&fbclid=PAZXh0bgNhZW0BMABhZGlkAasgECO16pkBpxuRQui9I8NEWjkD-FycgNt4RFTkDdxF_AKcBPcjOgBOaxnaDxxopKQcB6FS_aem_32JI9qbG8h6EBFlJEOleDQ&campaign_id=120210400976700313&ad_id=120225067040130313",1,0,0,0,64,4
"2025-10-27","TOF | Story/Reel","T1 | TRL | IGi | RL","Felix Earrings I RL","https://vibewithmoi.in/products/felix-gold-diamond-sapphire-ruby-and-peridot-statement-earrings?utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+Story%2FReel&utm_content=Felix+Earrings+I+RL&utm_term=T1+%7C+TRL+%7C+IGi+%7C+RL&placement=Instagram_Reels&utm_id=120231907497290313_v2_s18_e314&fbclid=PAZXh0bgNhZW0BMABhZGlkAasmSKOa7OkBp50JGUYPSsA9VI2c1akenkke0dT_9_K6CpjATgagj4hmwIDLGERkFTHtPEgk_aem_Tjsrx3lTy2UAxOfMFdT77w&campaign_id=120213378493220313&ad_id=120231907497300313",1,0,0,0,0,1
"2025-10-27","MOF","MOF | MUMi","Juliet Ring | SV","https://vibewithmoi.in/pages/moi-chennai-store?utm_source=ig&utm_medium=paid&utm_campaign=MOF&utm_content=Juliet+Ring+%7C+SV&utm_term=MOF+%7C+MUMi&placement=Instagram_Feed&utm_id=120226545760000313_v2_s12_e7248&fbclid=PAZXh0bgNhZW0BMABhZGlkAasmPNrhlXkBp50tHGCXdIco1jJ4G4HJFwLWLtuQ9IVkdZv5glmlXKxP_DE7szC5wA0mhXwW_aem_UMpAK1EsxlDw_0U88pRpuw&campaign_id=120210400976700313&ad_id=120226545937010313",1,0,0,0,0,1
"2025-10-27","TOF | Story/Reel","TRL | IGi | ST","Sapphires I SI","https://vibewithmoi.in/collections/sapphires-tanzanites?utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+Story%2FReel&utm_content=Sapphires+I+SI&utm_term=TRL+%7C+IGi+%7C+ST&placement=Instagram_Stories&utm_id=120226547772560313_v2_s17_e314&fbclid=PAZXh0bgNhZW0BMABhZGlkAashaJgIg5kBpxqjHuCK_W1PqpWMSqdzSDd1MqYje4gzLQvM5NC_YizPH_3hB4MF4cq79Qa0_aem_TjPXJCLfE_FCua1cnhD6Ug&campaign_id=120213378493220313&ad_id=120226547772590313",1,0,0,0,0,1
"2025-10-27","BOF | DPA","VC & ATC_1 Day - FB","DPA","https://vibewithmoi.in/products/vanessa-gold-diamond-and-ruby-ring?variant=40430429438015&utm_source=fb&utm_medium=paid&utm_campaign=BOF+%7C+DPA&utm_content=DPA&utm_term=VC+%26+ATC_1+Day+-+FB&placement=Facebook_Mobile_Reels&fbclid=IwZXh0bgNhZW0BMABhZGlkAasVTFI9MskBHv1umkee7nigXZQy8k9V5ATAz2uwjiwo4HlrPkVjohsGPaFyALuqTi4SsCYu_aem_Ae36I2yWger6m9iVELPjuw&campaign_id=23856507113650312&ad_id=120208891502090313&utm_id=120208891502070313_v2_s12",1,0,0,0,0,1
"2025-10-27","TOF | AND","TOF | Mumbai | TRLa","DABA – ALL","https://vibewithmoi.in/products/kismet-gold-diamond-and-emerald-pendant-necklace?variant=41284393074751&utm_source=ig&utm_medium=paid&utm_campaign=TOF%20|%20AND&utm_content=DABA%20%E2%80%93%20ALL&utm_term=TOF%20|%20Mumbai%20|%20TRLa&placement=Instagram_Feed&utm_id=120230916336960313_v2_s18_e314&fbclid=PAYW9leANsffZleHRuA2FlbQEwAGFkaWQBqyY9kPblSQGnU0_qD6kVUO_6esEtTVjd5a_eHh7KEwq1bVlpf-XMMYBocq3fiRVqze5od9g_aem_hLrvON0aorlpNVavPDLy5A&campaign_id=120230914825700313&ad_id=120230916336950313",1,0,0,0,0,1
"2025-10-27","TOF | ALL","T1 - TRLi - FEED","DABA – ALL","https://vibewithmoi.in/products/eden-emerald-gold-and-diamond-ear-studs?variant=39598256193599&utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+ALL&utm_content=DABA+%E2%80%93+ALL&utm_term=T1+-+TRLi+-+FEED&placement=Instagram_Feed&utm_id=120231904201750313_v2_s18_e314&fbclid=PAZXh0bgNhZW0BMABhZGlkAasmR7SKXSkBpw5NRCCUQsTy9DK31gG_za2myrqaqaHi9AKRUDd26ilOgFfdbeqLtqjIszIH_aem_IsMwlooJh3Mlua1t37hyEA&campaign_id=120204934414040313&ad_id=120231904201740313",1,0,0,0,0,1
"2025-10-27","Living in Moi | Hyderabad","TRLi – RL SV","Green Room I RL SV 05","https://vibewithmoi.in/pages/the-green-room?utm_source=ig&utm_medium=paid&utm_campaign=Living+in+Moi+%7C+Hyderabad&utm_content=Green+Room+I+RL+SV+05&utm_term=TRLi+%E2%80%93+RL+SV&placement=Instagram_Reels&utm_id=120235231632640313_v2_s18_e314&fbclid=PAZXh0bgNhZW0BMABhZGlkAaspTngN1IkBp0yRPuhRJd4YggnKOribwo2ZqeEBGsdDNHQ0qoV8ehl6Dxsg1aafjQm6BjCo_aem_xsCyra1ulYzpoLdOpCJ7uw&campaign_id=120234872112340313&ad_id=120235231710420313",1,0,0,0,0,1
"2025-10-27","TOF | ALL","T2 -  TRLi","DABA – ALL","https://vibewithmoi.in/products/eden-emerald-gold-and-diamond-ear-studs?variant=39598256193599&utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+ALL&utm_content=DABA+%E2%80%93+ALL&utm_term=T2+-++TRLi&placement=Instagram_Feed&utm_id=120231849970710313_v2_s08&fbclid=PAZXh0bgNhZW0BMABhZGlkAasmR7UbK3kBp-eFRbr3ez4ifgddoDHGFg0FPFjulC8nVoAkOhuDTOG2kFuUBpILJ08ne_4M_aem_6YKIwnfCl0rC3wEsVjw7UQ&campaign_id=120204934414040313&ad_id=120231849970770313",1,0,0,0,0,1
"2025-10-27","TOF | ALL","T2 -  TRLi","DABA – ALL","https://vibewithmoi.in/products/seher-gold-silver-diamond-and-pearl-earrings?variant=40193605271615&utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+ALL&utm_content=DABA+%E2%80%93+ALL&utm_term=T2+-++TRLi&placement=Instagram_Feed&utm_id=120231849970710313_v2_s18_e314&fbclid=PAZXh0bgNhZW0BMABhZGlkAasmR7UbK3kBp3TF8Tap3mFhxpoUdIRvpd3oX-it8eoaMEojYU6wSC2oZWte3xfS4Rh5rmR2_aem_OzAZUWeBVr1CZPUeTv_fag&campaign_id=120204934414040313&ad_id=120231849970770313",1,0,0,0,36,2
