Day,"Campaign name","Ad set name","Ad name","Amount spent (INR)","CPM (cost per 1,000 impressions)","CTR (link click-through rate)","Ad set delivery","Reporting starts","Reporting ends"
2025-10-28,"BOF | DPA","VC & ATC_1 Day - FB",DPA,396.25,239.28140097,10.08454106,active,2025-10-28,2025-10-28
2025-10-28,"TOF | Story/Reel","T1 | TRL | IGi | RL","Ira Earrings | RL",190.72,47.02169625,0.19723866,active,2025-10-28,2025-10-28
2025-10-28,"TOF | New Arrivals","T1 - TRLi - ST SI","Green Room I ST SI 04",220.02,58.19095477,0.52896059,active,2025-10-28,2025-10-28
2025-10-28,"TOF | 80k","T1 - LUXEi","80k DABA | Rings",67.24,445.29801325,3.31125828,active,2025-10-28,2025-10-28
2025-10-28,"TOF | 80k","T1 - LUXEi","80k DABA | Earrings",538.9,455.53677092,5.6635672,active,2025-10-28,2025-10-28
2025-10-28,"TOF | 80k","T1 - LUXEi","80k DABA",470.42,283.89861195,5.61255281,active,2025-10-28,2025-10-28
2025-10-28,"TOF | Story/Reel","T1 | TRL | IGi | RL","Emir Earrings | RL",635.54,135.02018271,1.16847249,active,2025-10-28,2025-10-28
2025-10-28,"TOF | Story/Reel","T1 | TRL | IGi | RL","Qutub Necklace | RL",797.11,75.41962343,0.65285268,active,2025-10-28,2025-10-28
2025-10-28,"TOF | Story/Reel","T1 | TRL | IGi | RL","Nizam Ring | RL",267.7,132.72186415,0.69410015,active,2025-10-28,2025-10-28
2025-10-28,"TOF | New Arrivals","T1 - TRLi - ST SI","Green Room I ST SI 02",260.3,95.73372563,0.47811695,active,2025-10-28,2025-10-28
2025-10-28,"TOF | Story/Reel","T1 | TRL | IGi | RL","Revival Necklace I RL",371.15,133.36327704,0.39525692,active,2025-10-28,2025-10-28
2025-10-28,"TOF | Story/Reel","T1 | TRL | IGi | RL","Felix Earrings I RL",421.26,82.6,0.64705882,active,2025-10-28,2025-10-28
2025-10-28,"TOF | Story/Reel","T1 | TRL | IGi | RL","Firdos Earrings I RL",292.24,65.71621318,0.92196987,active,2025-10-28,2025-10-28
2025-10-28,"TOF | ALL","T1 - TRLi - FEED","DABA – ALL",4004.55,113.84648188,1.6318408,active,2025-10-28,2025-10-28
2025-10-28,"TOF | ALL","T1 - FB - TRLi","DABA – ALL",1539.73,68.74101522,1.23219787,active,2025-10-28,2025-10-28
